".metric",".estimator",".estimate","analysis_label","classifier"
"precision","macro",0.687369001576575,"sentence-USE-embedding1-svmLinear2","svmLinear2"
"recall","macro",0.685783298826777,"sentence-USE-embedding1-svmLinear2","svmLinear2"
"f_meas","macro",0.683848362039851,"sentence-USE-embedding1-svmLinear2","svmLinear2"
"accuracy","multiclass",0.715277777777778,"sentence-USE-embedding2-xgbTree","xgbTree"
"kap","multiclass",0.65813549507817,"sentence-USE-embedding2-xgbTree","xgbTree"
"sens","macro",0.716839199447895,"sentence-USE-embedding2-xgbTree","xgbTree"
"spec","macro",0.942989962228256,"sentence-USE-embedding2-xgbTree","xgbTree"
"ppv","macro",0.72474846390169,"sentence-USE-embedding2-xgbTree","xgbTree"
"npv","macro",0.943603133696303,"sentence-USE-embedding2-xgbTree","xgbTree"
"mcc","multiclass",0.660549010006828,"sentence-USE-embedding2-xgbTree","xgbTree"
"j_index","macro",0.659829161676151,"sentence-USE-embedding2-xgbTree","xgbTree"
"bal_accuracy","macro",0.829914580838076,"sentence-USE-embedding2-xgbTree","xgbTree"
"detection_prevalence","macro",0.166666666666667,"sentence-USE-embedding2-xgbTree","xgbTree"
"precision","macro",0.72474846390169,"sentence-USE-embedding2-xgbTree","xgbTree"
"recall","macro",0.716839199447895,"sentence-USE-embedding2-xgbTree","xgbTree"
"f_meas","macro",0.713564334426704,"sentence-USE-embedding2-xgbTree","xgbTree"
